gene	ct	date	initials	note
NKX2-1	34.485	2020/11/17	PGRR	
NKX2-2	34.24	2020/11/17	PGRR	
NKX2-2	35	2020/11/17	PGRR	
NKX2-2	35	2020/11/17	PGRR	
NKX2-4	33.9	2020/11/17	PGRR	
NKX2-4	31.225	2020/11/17	PGRR	
NKX2-4	33.805	2020/11/17	PGRR	
NKX2-5	35	2020/11/17	PGRR	
NKX2-5	35	2020/11/17	PGRR	
NKX2-5	35	2020/11/17	PGRR	
NKX6-1	33.97	2020/11/17	PGRR	
NKX6-1	32.21	2020/11/17	PGRR	
NKX6-1	31.98	2020/11/17	PGRR	
NKX6-2	34.73	2020/11/17	PGRR	
NKX6-2	33.02	2020/11/17	PGRR	
NKX6-2	32.995	2020/11/17	PGRR	
NOV	30.925	2020/11/17	PGRR	
NOV	29.975	2020/11/17	PGRR	
NOV	30.285	2020/11/17	PGRR	
NTN1	35	2020/11/17	PGRR	
NTN1	35	2020/11/17	PGRR	
NTN1	35	2020/11/17	PGRR	
NURR1	29.815	2020/11/17	PGRR	
NURR1	28.565	2020/11/17	PGRR	
NURR1	28.32	2020/11/17	PGRR	
OCT4	18.375	2020/11/17	PGRR	
OCT4	17.825	2020/11/17	PGRR	
OCT4	18	2020/11/17	PGRR	
OLIG2	30.265	2020/11/17	PGRR	
OLIG2	29.01	2020/11/17	PGRR	
OLIG2	29.15	2020/11/17	PGRR	
OTP	35	2020/11/17	PGRR	
OTP	35	2020/11/17	PGRR	
OTP	35	2020/11/17	PGRR	
OTX1	31.29	2020/11/17	PGRR	
OTX1	30.955	2020/11/17	PGRR	
OTX1	30.78	2020/11/17	PGRR	
OTX2	23.685	2020/11/17	PGRR	
OTX2	22.97	2020/11/17	PGRR	
OTX2	21.975	2020/11/17	PGRR	
PAX2	31.245	2020/11/17	PGRR	
PAX2	30.87	2020/11/17	PGRR	
PAX2	30.97	2020/11/17	PGRR	
PAX3	35	2020/11/17	PGRR	
PAX3	35	2020/11/17	PGRR	
PAX3	35	2020/11/17	PGRR	
PAX5	35	2020/11/17	PGRR	
PAX5	35	2020/11/17	PGRR	
PAX5	34.085	2020/11/17	PGRR	
PAX6	30.38	2020/11/17	PGRR	
PAX6	30.67	2020/11/17	PGRR	
PAX6	29.565	2020/11/17	PGRR	
PAX7	33.66	2020/11/17	PGRR	
PAX7	32.955	2020/11/17	PGRR	
PAX7	33.305	2020/11/17	PGRR	
PAX8	35	2020/11/17	PGRR	
PAX8	35	2020/11/17	PGRR	
PAX8	35	2020/11/17	PGRR	
PECAM1	35	2020/11/17	PGRR	
PECAM1	35	2020/11/17	PGRR	
PECAM1	35	2020/11/17	PGRR	
PITX2	31.87	2020/11/17	PGRR	
PITX2	31.785	2020/11/17	PGRR	
PITX2	33.075	2020/11/17	PGRR	
PITX3	35	2020/11/17	PGRR	
PITX3	33.76	2020/11/17	PGRR	
PITX3	32.035	2020/11/17	PGRR	
PVALB	28.475	2020/11/17	PGRR	
PVALB	27.805	2020/11/17	PGRR	
PVALB	27.07	2020/11/17	PGRR	
RARA	31.85	2020/11/17	PGRR	
RARA	30.705	2020/11/17	PGRR	
RARA	30.985	2020/11/17	PGRR	
RGR	35	2020/11/17	PGRR	
RGR	35	2020/11/17	PGRR	
RGR	35	2020/11/17	PGRR	
RSPO2	30.39	2020/11/17	PGRR	
RSPO2	30.13	2020/11/17	PGRR	
RSPO2	31.155	2020/11/17	PGRR	
SERT	30.705	2020/11/17	PGRR	
SERT	30.595	2020/11/17	PGRR	
SERT	30.795	2020/11/17	PGRR	
SHH	35	2020/11/17	PGRR	
SHH	34.555	2020/11/17	PGRR	
SHH	34.695	2020/11/17	PGRR	
SIM1	33.1	2020/11/17	PGRR	
SIM1	31.615	2020/11/17	PGRR	
SIM1	33.07	2020/11/17	PGRR	
SIX1	32.375	2020/11/17	PGRR	
SIX1	31.43	2020/11/17	PGRR	
SIX1	31.92	2020/11/17	PGRR	
SIX3	28.14	2020/11/17	PGRR	
SIX3	27.83	2020/11/17	PGRR	
SIX3	28.48	2020/11/17	PGRR	
SIX6	30.66	2020/11/17	PGRR	
SIX6	29.365	2020/11/17	PGRR	
SIX6	30.72	2020/11/17	PGRR	
SNAI2	31.69	2020/11/17	PGRR	
SNAI2	31.325	2020/11/17	PGRR	
SNAI2	30.47	2020/11/17	PGRR	
SOX1	33.99	2020/11/17	PGRR	
SOX1	33.075	2020/11/17	PGRR	
SOX1	31.68	2020/11/17	PGRR	
SOX2	22.985	2020/11/17	PGRR	
SOX2	22.73	2020/11/17	PGRR	
SOX2	22.1	2020/11/17	PGRR	
SOX6	33.885	2020/11/17	PGRR	
SOX6	33.405	2020/11/17	PGRR	
